                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
106,0.69479,0.44986,1.1874,7.216955,0.75082,0.43852,1.2245,7.68716,0.89068,0.96088,0.97338,0.76054,0.81673,0.44039,1.3834,0.83846,0.40849,1.4195,0.004852,0.004852,0.004852
107,0.68763,0.45193,1.181,7.15469,0.74333,0.4384,1.2255,7.632425,0.92966,0.94132,0.9772,0.76995,0.81265,0.42468,1.3702,0.83411,0.36966,1.3977,0.0048025,0.0048025,0.0048025
108,0.69391,0.45826,1.1825,7.207205,0.74802,0.44311,1.221,7.663205,0.93813,0.94132,0.97701,0.76911,0.81583,0.417,1.3813,0.83118,0.35689,1.4023,0.004753,0.004753,0.004753
109,0.69712,0.45261,1.1816,7.227105,0.75932,0.43831,1.2203,7.744505,0.89764,0.97311,0.97609,0.76826,0.79924,0.40798,1.3438,0.81304,0.36958,1.3601,0.0047035,0.0047035,0.0047035
110,0.68438,0.44285,1.1688,7.107475,0.73824,0.42894,1.2087,7.56432,0.89834,0.95844,0.9777,0.77174,0.79633,0.41755,1.3255,0.8109,0.36248,1.3413,0.004654,0.004654,0.004654
111,0.69068,0.4455,1.1724,7.16145,0.74805,0.42646,1.2133,7.643555,0.92668,0.93888,0.97793,0.77177,0.80487,0.4281,1.3501,0.81835,0.37111,1.3716,0.0046045,0.0046045,0.0046045
112,0.68672,0.44067,1.1719,7.128585,0.74176,0.40507,1.2105,7.581485,0.90203,0.95844,0.97461,0.75446,0.81599,0.42654,1.3745,0.85361,0.3901,1.415,0.004555,0.004555,0.004555
113,0.67725,0.45122,1.1655,7.053235,0.73403,0.4234,1.2088,7.530125,0.92755,0.95844,0.98214,0.77121,0.80856,0.42462,1.3711,0.8312,0.37207,1.3888,0.0045055,0.0045055,0.0045055
114,0.67598,0.43147,1.156,7.019585,0.72646,0.40757,1.2001,7.452385,0.91566,0.95567,0.97414,0.76561,0.79817,0.43948,1.3655,0.83046,0.36474,1.4085,0.004456,0.004456,0.004456
115,0.68382,0.44676,1.1771,7.11768,0.73918,0.43073,1.2205,7.589965,0.89625,0.97162,0.97444,0.76688,0.7985,0.41772,1.3532,0.83,0.36658,1.4042,0.0044065,0.0044065,0.0044065
116,0.67415,0.44331,1.1658,7.02648,0.73323,0.42666,1.2135,7.532805,0.92493,0.93888,0.97474,0.76117,0.80523,0.42965,1.3832,0.81438,0.38629,1.4183,0.004357,0.004357,0.004357
117,0.67003,0.43929,1.1588,6.98307,0.72653,0.42099,1.2068,7.46967,0.9157,0.95608,0.97631,0.76577,0.81573,0.4202,1.3994,0.84026,0.3627,1.4477,0.0043075,0.0043075,0.0043075
118,0.6604,0.43245,1.1549,6.901575,0.71486,0.40261,1.2032,7.367555,0.91213,0.96444,0.97853,0.77068,0.80709,0.40841,1.3689,0.83787,0.35536,1.4231,0.004258,0.004258,0.004258
